♦8,♠10,♣J,♠J,♠A | Pair
♥3,♠8,♣8,♠J,♠A | Pair
♣4,♠8,♣8,♠J,♠A | Pair
♦5,♠8,♣8,♠J,♠A | Pair
♦2,♠J,♥J,♥Q,♠A | Pair
♥3,♠J,♥J,♥Q,♠A | Pair
♣4,♠J,♥J,♥Q,♠A | Pair
♦5,♠J,♥J,♥Q,♠A | Pair
♣8,♠J,♥J,♥Q,♠A | Pair
♦2,♥3,♠J,♥J,♠A | Pair
♦2,♣4,♠J,♥J,♠A | Pair
♦2,♦5,♠J,♥J,♠A | Pair
♦2,♣8,♠J,♥J,♠A | Pair
♥3,♣4,♠J,♥J,♠A | Pair
♥3,♦5,♠J,♥J,♠A | Pair
♥3,♣8,♠J,♥J,♠A | Pair
♣4,♦5,♠J,♥J,♠A | Pair
♣4,♣8,♠J,♥J,♠A | Pair
♦5,♣8,♠J,♥J,♠A | Pair
♣2,♦8,♠8,♠10,♠J | Pair
♣2,♦8,♠10,♠J,♥J | Pair
♣2,♦2,♦8,♠10,♠J | Pair
♣2,♦8,♣8,♠10,♠J | Pair
♦8,♠8,♠10,♠J,♥J | Two Pairs
♦8,♠8,♠10,♠J,♥Q | Pair
♦2,♦8,♠8,♠10,♠J | Pair
♥3,♦8,♠8,♠10,♠J | Pair
♣4,♦8,♠8,♠10,♠J | Pair
♦5,♦8,♠8,♠10,♠J | Pair
♦8,♠8,♣8,♠10,♠J | Full House
♦8,♠10,♠J,♥J,♥Q | Pair
♦2,♦8,♠10,♠J,♥J | Pair
♥3,♦8,♠10,♠J,♥J | Pair
♣4,♦8,♠10,♠J,♥J | Pair
♦5,♦8,♠10,♠J,♥J | Pair
♦8,♣8,♠10,♠J,♥J | Two Pairs
♦8,♣8,♠10,♠J,♥Q | Pair
♦2,♦8,♣8,♠10,♠J | Pair
♥3,♦8,♣8,♠10,♠J | Pair
♣4,♦8,♣8,♠10,♠J | Pair
♦5,♦8,♣8,♠10,♠J | Pair
♣2,♠8,♠10,♠J,♥J | Pair
♣2,♦2,♠8,♠10,♠J | Pair
♣2,♠8,♣8,♠10,♠J | Pair
♣2,♠10,♠J,♥J,♥Q | Pair
♣2,♦2,♠10,♠J,♥J | Two Pairs
♣2,♥3,♠10,♠J,♥J | Pair
♣2,♣4,♠10,♠J,♥J | Pair
♣2,♦5,♠10,♠J,♥J | Pair
♣2,♣8,♠10,♠J,♥J | Pair
♣2,♦2,♠10,♠J,♥Q | Pair
♣2,♦2,♥3,♠10,♠J | Pair
♣2,♦2,♣4,♠10,♠J | Pair
♣2,♦2,♦5,♠10,♠J | Pair
♣2,♦2,♣8,♠10,♠J | Pair
♠8,♠10,♠J,♥J,♥Q | Pair
♦2,♠8,♠10,♠J,♥J | Pair
♥3,♠8,♠10,♠J,♥J | Pair
♣4,♠8,♠10,♠J,♥J | Pair
♦5,♠8,♠10,♠J,♥J | Pair
♠8,♣8,♠10,♠J,♥J | Two Pairs
♠8,♣8,♠10,♠J,♥Q | Pair
♦2,♠8,♣8,♠10,♠J | Pair
♥3,♠8,♣8,♠10,♠J | Pair
♣4,♠8,♣8,♠10,♠J | Pair
♦5,♠8,♣8,♠10,♠J | Pair
♦2,♠10,♠J,♥J,♥Q | Pair
♥3,♠10,♠J,♥J,♥Q | Pair
♣4,♠10,♠J,♥J,♥Q | Pair
♦5,♠10,♠J,♥J,♥Q | Pair
♣8,♠10,♠J,♥J,♥Q | Pair
♦2,♥3,♠10,♠J,♥J | Pair
♦2,♣4,♠10,♠J,♥J | Pair
♦2,♦5,♠10,♠J,♥J | Pair
♦2,♣8,♠10,♠J,♥J | Pair
♥3,♣4,♠10,♠J,♥J | Pair
♥3,♦5,♠10,♠J,♥J | Pair
♥3,♣8,♠10,♠J,♥J | Pair
♣4,♦5,♠10,♠J,♥J | Pair
♣4,♣8,♠10,♠J,♥J | Pair
♦5,♣8,♠10,♠J,♥J | Pair
♣2,♦8,♠8,♠J,♥J | Two Pairs
♣2,♦8,♠8,♠J,♥Q | Pair
♣2,♦2,♦8,♠8,♠J | Two Pairs
♣2,♥3,♦8,♠8,♠J | Pair
♣2,♣4,♦8,♠8,♠J | Pair
♣2,♦5,♦8,♠8,♠J | Pair
♣2,♦8,♠8,♣8,♠J | Full House
♣2,♦8,♠J,♥J,♥Q | Pair
♣2,♦2,♦8,♠J,♥J | Two Pairs
♣2,♥3,♦8,♠J,♥J | Pair
♣2,♣4,♦8,♠J,♥J | Pair
♣2,♦5,♦8,♠J,♥J | Pair
♣2,♦8,♣8,♠J,♥J | Two Pairs
♣2,♦2,♦8,♠J,♥Q | Pair
♣2,♦8,♣8,♠J,♥Q | Pair
♣2,♦2,♥3,♦8,♠J | Pair
♣2,♦2,♣4,♦8,♠J | Pair
♣2,♦2,♦5,♦8,♠J | Pair
♣2,♦2,♦8,♣8,♠J | Two Pairs
♣2,♥3,♦8,♣8,♠J | Pair
♣2,♣4,♦8,♣8,♠J | Pair
♣2,♦5,♦8,♣8,♠J | Pair
♦8,♠8,♠J,♥J,♥Q | Two Pairs
♦2,♦8,♠8,♠J,♥J | Two Pairs
♥3,♦8,♠8,♠J,♥J | Two Pairs
♣4,♦8,♠8,♠J,♥J | Two Pairs
♦5,♦8,♠8,♠J,♥J | Two Pairs
♦8,♠8,♣8,♠J,♥J | Full House
♦2,♦8,♠8,♠J,♥Q | Pair
♥3,♦8,♠8,♠J,♥Q | Pair
♣4,♦8,♠8,♠J,♥Q | Pair
♦5,♦8,♠8,♠J,♥Q | Pair
♦8,♠8,♣8,♠J,♥Q | Full House
♦2,♥3,♦8,♠8,♠J | Pair
♦2,♣4,♦8,♠8,♠J | Pair
♦2,♦5,♦8,♠8,♠J | Pair
♦2,♦8,♠8,♣8,♠J | Full House
♥3,♣4,♦8,♠8,♠J | Pair
♥3,♦5,♦8,♠8,♠J | Pair
♥3,♦8,♠8,♣8,♠J | Full House
♣4,♦5,♦8,♠8,♠J | Pair
♣4,♦8,♠8,♣8,♠J | Full House
♦5,♦8,♠8,♣8,♠J | Full House
♦2,♦8,♠J,♥J,♥Q | Pair
♥3,♦8,♠J,♥J,♥Q | Pair
♣4,♦8,♠J,♥J,♥Q | Pair
♦5,♦8,♠J,♥J,♥Q | Pair
♦8,♣8,♠J,♥J,♥Q | Two Pairs
♦2,♥3,♦8,♠J,♥J | Pair
♦2,♣4,♦8,♠J,♥J | Pair
♦2,♦5,♦8,♠J,♥J | Pair
♦2,♦8,♣8,♠J,♥J | Two Pairs
♥3,♣4,♦8,♠J,♥J | Pair
♥3,♦5,♦8,♠J,♥J | Pair
♥3,♦8,♣8,♠J,♥J | Two Pairs
♣4,♦5,♦8,♠J,♥J | Pair
♣4,♦8,♣8,♠J,♥J | Two Pairs
♦5,♦8,♣8,♠J,♥J | Two Pairs
♦2,♦8,♣8,♠J,♥Q | Pair
♥3,♦8,♣8,♠J,♥Q | Pair
♣4,♦8,♣8,♠J,♥Q | Pair
♦5,♦8,♣8,♠J,♥Q | Pair
♦2,♥3,♦8,♣8,♠J | Pair
♦2,♣4,♦8,♣8,♠J | Pair
♦2,♦5,♦8,♣8,♠J | Pair
♥3,♣4,♦8,♣8,♠J | Pair
♥3,♦5,♦8,♣8,♠J | Pair
♣4,♦5,♦8,♣8,♠J | Pair
♣2,♠8,♠J,♥J,♥Q | Pair
♣2,♦2,♠8,♠J,♥J | Two Pairs
♣2,♥3,♠8,♠J,♥J | Pair
♣2,♣4,♠8,♠J,♥J | Pair
♣2,♦5,♠8,♠J,♥J | Pair
♣2,♠8,♣8,♠J,♥J | Two Pairs
♣2,♦2,♠8,♠J,♥Q | Pair
♣2,♠8,♣8,♠J,♥Q | Pair
♣2,♦2,♥3,♠8,♠J | Pair
♣2,♦2,♣4,♠8,♠J | Pair
♣2,♦2,♦5,♠8,♠J | Pair
♣2,♦2,♠8,♣8,♠J | Two Pairs
♣2,♥3,♠8,♣8,♠J | Pair
♣2,♣4,♠8,♣8,♠J | Pair
♣2,♦5,♠8,♣8,♠J | Pair
♣2,♦2,♠J,♥J,♥Q | Two Pairs
♣2,♥3,♠J,♥J,♥Q | Pair
♣2,♣4,♠J,♥J,♥Q | Pair
♣2,♦5,♠J,♥J,♥Q | Pair
♣2,♣8,♠J,♥J,♥Q | Pair
♣2,♦2,♥3,♠J,♥J | Two Pairs
♣2,♦2,♣4,♠J,♥J | Two Pairs
♣2,♦2,♦5,♠J,♥J | Two Pairs
♣2,♦2,♣8,♠J,♥J | Two Pairs
♣2,♥3,♣4,♠J,♥J | Pair
♣2,♥3,♦5,♠J,♥J | Pair
♣2,♥3,♣8,♠J,♥J | Pair
♣2,♣4,♦5,♠J,♥J | Pair
♣2,♣4,♣8,♠J,♥J | Pair
♣2,♦5,♣8,♠J,♥J | Pair
♣2,♦2,♥3,♠J,♥Q | Pair
♣2,♦2,♣4,♠J,♥Q | Pair
♣2,♦2,♦5,♠J,♥Q | Pair
♣2,♦2,♣8,♠J,♥Q | Pair
♣2,♦2,♥3,♣4,♠J | Pair
♣2,♦2,♥3,♦5,♠J | Pair
♣2,♦2,♥3,♣8,♠J | Pair
♣2,♦2,♣4,♦5,♠J | Pair
♣2,♦2,♣4,♣8,♠J | Pair
♣2,♦2,♦5,♣8,♠J | Pair
♦2,♠8,♠J,♥J,♥Q | Pair
♥3,♠8,♠J,♥J,♥Q | Pair
♣4,♠8,♠J,♥J,♥Q | Pair
♦5,♠8,♠J,♥J,♥Q | Pair
♠8,♣8,♠J,♥J,♥Q | Two Pairs
♦2,♥3,♠8,♠J,♥J | Pair
♦2,♣4,♠8,♠J,♥J | Pair
♦2,♦5,♠8,♠J,♥J | Pair
♦2,♠8,♣8,♠J,♥J | Two Pairs
♥3,♣4,♠8,♠J,♥J | Pair
♥3,♦5,♠8,♠J,♥J | Pair
♥3,♠8,♣8,♠J,♥J | Two Pairs
♣4,♦5,♠8,♠J,♥J | Pair
♣4,♠8,♣8,♠J,♥J | Two Pairs
♦5,♠8,♣8,♠J,♥J | Two Pairs
♦2,♠8,♣8,♠J,♥Q | Pair
♥3,♠8,♣8,♠J,♥Q | Pair
♣4,♠8,♣8,♠J,♥Q | Pair
♦5,♠8,♣8,♠J,♥Q | Pair
♦2,♥3,♠8,♣8,♠J | Pair
♦2,♣4,♠8,♣8,♠J | Pair
♦2,♦5,♠8,♣8,♠J | Pair
♥3,♣4,♠8,♣8,♠J | Pair
♥3,♦5,♠8,♣8,♠J | Pair
♣4,♦5,♠8,♣8,♠J | Pair
♦2,♥3,♠J,♥J,♥Q | Pair
♦2,♣4,♠J,♥J,♥Q | Pair
♦2,♦5,♠J,♥J,♥Q | Pair
♦2,♣8,♠J,♥J,♥Q | Pair
♥3,♣4,♠J,♥J,♥Q | Pair
♥3,♦5,♠J,♥J,♥Q | Pair
♥3,♣8,♠J,♥J,♥Q | Pair
♣4,♦5,♠J,♥J,♥Q | Pair
♣4,♣8,♠J,♥J,♥Q | Pair
♦5,♣8,♠J,♥J,♥Q | Pair
♦2,♥3,♣4,♠J,♥J | Pair
♦2,♥3,♦5,♠J,♥J | Pair
♦2,♥3,♣8,♠J,♥J | Pair
♦2,♣4,♦5,♠J,♥J | Pair
♦2,♣4,♣8,♠J,♥J | Pair
♦2,♦5,♣8,♠J,♥J | Pair
♥3,♣4,♦5,♠J,♥J | Pair
♥3,♣4,♣8,♠J,♥J | Pair
♥3,♦5,♣8,♠J,♥J | Pair
♣4,♦5,♣8,♠J,♥J | Pair
♣2,♦8,♠8,♠10,♠A | Pair
♣2,♦2,♦8,♠10,♠A | Pair
♣2,♦8,♣8,♠10,♠A | Pair
♦8,♠8,♠10,♥J,♠A | Pair
♦8,♠8,♠10,♥Q,♠A | Pair
♦2,♦8,♠8,♠10,♠A | Pair
♥3,♦8,♠8,♠10,♠A | Pair
♣4,♦8,♠8,♠10,♠A | Pair
♦5,♦8,♠8,♠10,♠A | Pair
♦8,♠8,♣8,♠10,♠A | Full House
♦8,♣8,♠10,♥J,♠A | Pair
♦8,♣8,♠10,♥Q,♠A | Pair
♦2,♦8,♣8,♠10,♠A | Pair
♥3,♦8,♣8,♠10,♠A | Pair
♣4,♦8,♣8,♠10,♠A | Pair
♦5,♦8,♣8,♠10,♠A | Pair
♣2,♦2,♠8,♠10,♠A | Pair
♣2,♠8,♣8,♠10,♠A | Pair
♣2,♦2,♠10,♥J,♠A | Pair
♣2,♦2,♠10,♥Q,♠A | Pair
♣2,♦2,♥3,♠10,♠A | Pair
♣2,♦2,♣4,♠10,♠A | Pair
♣2,♦2,♦5,♠10,♠A | Pair
♣2,♦2,♣8,♠10,♠A | Pair
♠8,♣8,♠10,♥J,♠A | Pair
♠8,♣8,♠10,♥Q,♠A | Pair
♦2,♠8,♣8,♠10,♠A | Pair
♥3,♠8,♣8,♠10,♠A | Pair
♣4,♠8,♣8,♠10,♠A | Pair
♦5,♠8,♣8,♠10,♠A | Pair
♣2,♦8,♠8,♥J,♠A | Pair
♣2,♦8,♠8,♥Q,♠A | Pair
♣2,♦2,♦8,♠8,♠A | Two Pairs
♣2,♥3,♦8,♠8,♠A | Pair
♣2,♣4,♦8,♠8,♠A | Pair
♣2,♦5,♦8,♠8,♠A | Pair
♣2,♦8,♠8,♣8,♠A | Full House
♣2,♦2,♦8,♥J,♠A | Pair
♣2,♦8,♣8,♥J,♠A | Pair
♣2,♦2,♦8,♥Q,♠A | Pair
♣2,♦8,♣8,♥Q,♠A | Pair
♣2,♦2,♥3,♦8,♠A | Pair
♣2,♦2,♣4,♦8,♠A | Pair
♣2,♦2,♦5,♦8,♠A | Pair
♣2,♦2,♦8,♣8,♠A | Two Pairs
♣2,♥3,♦8,♣8,♠A | Pair
♣2,♣4,♦8,♣8,♠A | Pair
♣2,♦5,♦8,♣8,♠A | Pair
♦8,♠8,♥J,♥Q,♠A | Pair
♦2,♦8,♠8,♥J,♠A | Pair
♥3,♦8,♠8,♥J,♠A | Pair
♣4,♦8,♠8,♥J,♠A | Pair
♦5,♦8,♠8,♥J,♠A | Pair
♦8,♠8,♣8,♥J,♠A | Full House
♦2,♦8,♠8,♥Q,♠A | Pair
♥3,♦8,♠8,♥Q,♠A | Pair
♣4,♦8,♠8,♥Q,♠A | Pair
♦5,♦8,♠8,♥Q,♠A | Pair
♦8,♠8,♣8,♥Q,♠A | Full House
♦2,♥3,♦8,♠8,♠A | Pair
♦2,♣4,♦8,♠8,♠A | Pair
♦2,♦5,♦8,♠8,♠A | Pair
♦2,♦8,♠8,♣8,♠A | Full House
♥3,♣4,♦8,♠8,♠A | Pair
♥3,♦5,♦8,♠8,♠A | Pair
♥3,♦8,♠8,♣8,♠A | Full House
♣4,♦5,♦8,♠8,♠A | Pair
♣4,♦8,♠8,♣8,♠A | Full House
♦5,♦8,♠8,♣8,♠A | Full House
♦8,♣8,♥J,♥Q,♠A | Pair
♦2,♦8,♣8,♥J,♠A | Pair
♥3,♦8,♣8,♥J,♠A | Pair
♣4,♦8,♣8,♥J,♠A | Pair
♦5,♦8,♣8,♥J,♠A | Pair
♦2,♦8,♣8,♥Q,♠A | Pair
♥3,♦8,♣8,♥Q,♠A | Pair
♣4,♦8,♣8,♥Q,♠A | Pair
♦5,♦8,♣8,♥Q,♠A | Pair
♦2,♥3,♦8,♣8,♠A | Pair
♦2,♣4,♦8,♣8,♠A | Pair
♦2,♦5,♦8,♣8,♠A | Pair
♥3,♣4,♦8,♣8,♠A | Pair
♥3,♦5,♦8,♣8,♠A | Pair
♣4,♦5,♦8,♣8,♠A | Pair
♣2,♦2,♠8,♥J,♠A | Pair
♣2,♠8,♣8,♥J,♠A | Pair
♣2,♦2,♠8,♥Q,♠A | Pair
♣2,♠8,♣8,♥Q,♠A | Pair
♣2,♦2,♥3,♠8,♠A | Pair
♣2,♦2,♣4,♠8,♠A | Pair
♣2,♦2,♦5,♠8,♠A | Pair
♣2,♦2,♠8,♣8,♠A | Two Pairs
♣2,♥3,♠8,♣8,♠A | Pair
♣2,♣4,♠8,♣8,♠A | Pair
♣2,♦5,♠8,♣8,♠A | Pair
♣2,♦2,♥J,♥Q,♠A | Pair
♣2,♦2,♥3,♥J,♠A | Pair
♣2,♦2,♣4,♥J,♠A | Pair
♣2,♦2,♦5,♥J,♠A | Pair
♣2,♦2,♣8,♥J,♠A | Pair
♣2,♦2,♥3,♥Q,♠A | Pair
♣2,♦2,♣4,♥Q,♠A | Pair
♣2,♦2,♦5,♥Q,♠A | Pair
♣2,♦2,♣8,♥Q,♠A | Pair
♣2,♦2,♥3,♣4,♠A | Pair
♣2,♦2,♥3,♦5,♠A | Pair
♣2,♦2,♥3,♣8,♠A | Pair
♣2,♦2,♣4,♦5,♠A | Pair
♣2,♦2,♣4,♣8,♠A | Pair
♣2,♦2,♦5,♣8,♠A | Pair
♣2,♥3,♣4,♦5,♠A | Straight
♠8,♣8,♥J,♥Q,♠A | Pair
♦2,♠8,♣8,♥J,♠A | Pair
♥3,♠8,♣8,♥J,♠A | Pair
♣4,♠8,♣8,♥J,♠A | Pair
♦5,♠8,♣8,♥J,♠A | Pair
♦2,♠8,♣8,♥Q,♠A | Pair
♥3,♠8,♣8,♥Q,♠A | Pair
♣4,♠8,♣8,♥Q,♠A | Pair
♦5,♠8,♣8,♥Q,♠A | Pair
♦2,♥3,♠8,♣8,♠A | Pair
♦2,♣4,♠8,♣8,♠A | Pair
♦2,♦5,♠8,♣8,♠A | Pair
♥3,♣4,♠8,♣8,♠A | Pair
♥3,♦5,♠8,♣8,♠A | Pair
♣4,♦5,♠8,♣8,♠A | Pair
♦2,♥3,♣4,♦5,♠A | Straight
♣2,♦8,♠8,♠10,♥J | Pair
♣2,♦8,♠8,♠10,♥Q | Pair
♣2,♦2,♦8,♠8,♠10 | Two Pairs
♣2,♥3,♦8,♠8,♠10 | Pair
♣2,♣4,♦8,♠8,♠10 | Pair
♣2,♦5,♦8,♠8,♠10 | Pair
♣2,♦8,♠8,♣8,♠10 | Full House
♣2,♦2,♦8,♠10,♥J | Pair
♣2,♦8,♣8,♠10,♥J | Pair
♣2,♦2,♦8,♠10,♥Q | Pair
♣2,♦8,♣8,♠10,♥Q | Pair
♣2,♦2,♥3,♦8,♠10 | Pair
♣2,♦2,♣4,♦8,♠10 | Pair
♣2,♦2,♦5,♦8,♠10 | Pair
♣2,♦2,♦8,♣8,♠10 | Two Pairs
♣2,♥3,♦8,♣8,♠10 | Pair
♣2,♣4,♦8,♣8,♠10 | Pair
♣2,♦5,♦8,♣8,♠10 | Pair
♦8,♠8,♠10,♥J,♥Q | Pair
♦2,♦8,♠8,♠10,♥J | Pair
♥3,♦8,♠8,♠10,♥J | Pair
♣4,♦8,♠8,♠10,♥J | Pair
♦5,♦8,♠8,♠10,♥J | Pair
♦8,♠8,♣8,♠10,♥J | Full House
♦2,♦8,♠8,♠10,♥Q | Pair
♥3,♦8,♠8,♠10,♥Q | Pair
♣4,♦8,♠8,♠10,♥Q | Pair
♦5,♦8,♠8,♠10,♥Q | Pair
♦8,♠8,♣8,♠10,♥Q | Full House
♦2,♥3,♦8,♠8,♠10 | Pair
♦2,♣4,♦8,♠8,♠10 | Pair
♦2,♦5,♦8,♠8,♠10 | Pair
♦2,♦8,♠8,♣8,♠10 | Full House
♥3,♣4,♦8,♠8,♠10 | Pair
♥3,♦5,♦8,♠8,♠10 | Pair
♥3,♦8,♠8,♣8,♠10 | Full House
♣4,♦5,♦8,♠8,♠10 | Pair
♣4,♦8,♠8,♣8,♠10 | Full House
♦5,♦8,♠8,♣8,♠10 | Full House
♦8,♣8,♠10,♥J,♥Q | Pair
♦2,♦8,♣8,♠10,♥J | Pair
♥3,♦8,♣8,♠10,♥J | Pair
♣4,♦8,♣8,♠10,♥J | Pair
♦5,♦8,♣8,♠10,♥J | Pair
♦2,♦8,♣8,♠10,♥Q | Pair
♥3,♦8,♣8,♠10,♥Q | Pair
♣4,♦8,♣8,♠10,♥Q | Pair
♦5,♦8,♣8,♠10,♥Q | Pair
♦2,♥3,♦8,♣8,♠10 | Pair
♦2,♣4,♦8,♣8,♠10 | Pair
♦2,♦5,♦8,♣8,♠10 | Pair
♥3,♣4,♦8,♣8,♠10 | Pair
♥3,♦5,♦8,♣8,♠10 | Pair
♣4,♦5,♦8,♣8,♠10 | Pair
♣2,♦2,♠8,♠10,♥J | Pair
♣2,♠8,♣8,♠10,♥J | Pair
♣2,♦2,♠8,♠10,♥Q | Pair
♣2,♠8,♣8,♠10,♥Q | Pair
♣2,♦2,♥3,♠8,♠10 | Pair
♣2,♦2,♣4,♠8,♠10 | Pair
♣2,♦2,♦5,♠8,♠10 | Pair
♣2,♦2,♠8,♣8,♠10 | Two Pairs
♣2,♥3,♠8,♣8,♠10 | Pair
♣2,♣4,♠8,♣8,♠10 | Pair
♣2,♦5,♠8,♣8,♠10 | Pair
♣2,♦2,♠10,♥J,♥Q | Pair
♣2,♦2,♥3,♠10,♥J | Pair
♣2,♦2,♣4,♠10,♥J | Pair
♣2,♦2,♦5,♠10,♥J | Pair
♣2,♦2,♣8,♠10,♥J | Pair
♣2,♦2,♥3,♠10,♥Q | Pair
♣2,♦2,♣4,♠10,♥Q | Pair
♣2,♦2,♦5,♠10,♥Q | Pair
♣2,♦2,♣8,♠10,♥Q | Pair
♣2,♦2,♥3,♣4,♠10 | Pair
♣2,♦2,♥3,♦5,♠10 | Pair
♣2,♦2,♥3,♣8,♠10 | Pair
♣2,♦2,♣4,♦5,♠10 | Pair
♣2,♦2,♣4,♣8,♠10 | Pair
♣2,♦2,♦5,♣8,♠10 | Pair
♠8,♣8,♠10,♥J,♥Q | Pair
♦2,♠8,♣8,♠10,♥J | Pair
♥3,♠8,♣8,♠10,♥J | Pair
♣4,♠8,♣8,♠10,♥J | Pair
♦5,♠8,♣8,♠10,♥J | Pair
♦2,♠8,♣8,♠10,♥Q | Pair
♥3,♠8,♣8,♠10,♥Q | Pair
♣4,♠8,♣8,♠10,♥Q | Pair
♦5,♠8,♣8,♠10,♥Q | Pair
♦2,♥3,♠8,♣8,♠10 | Pair
♦2,♣4,♠8,♣8,♠10 | Pair
♦2,♦5,♠8,♣8,♠10 | Pair
♥3,♣4,♠8,♣8,♠10 | Pair
♥3,♦5,♠8,♣8,♠10 | Pair
♣4,♦5,♠8,♣8,♠10 | Pair
♣2,♦8,♠8,♥J,♥Q | Pair
♣2,♦2,♦8,♠8,♥J | Two Pairs
♣2,♥3,♦8,♠8,♥J | Pair
♣2,♣4,♦8,♠8,♥J | Pair
♣2,♦5,♦8,♠8,♥J | Pair
♣2,♦8,♠8,♣8,♥J | Full House
♣2,♦2,♦8,♠8,♥Q | Two Pairs
♣2,♥3,♦8,♠8,♥Q | Pair
♣2,♣4,♦8,♠8,♥Q | Pair
♣2,♦5,♦8,♠8,♥Q | Pair
♣2,♦8,♠8,♣8,♥Q | Full House
♣2,♦2,♥3,♦8,♠8 | Two Pairs
♣2,♦2,♣4,♦8,♠8 | Two Pairs
♣2,♦2,♦5,♦8,♠8 | Two Pairs
♣2,♦2,♦8,♠8,♣8 | Full House
♣2,♥3,♣4,♦8,♠8 | Pair
♣2,♥3,♦5,♦8,♠8 | Pair
♣2,♥3,♦8,♠8,♣8 | Full House
♣2,♣4,♦5,♦8,♠8 | Pair
♣2,♣4,♦8,♠8,♣8 | Full House
♣2,♦5,♦8,♠8,♣8 | Full House
♣2,♦2,♦8,♥J,♥Q | Pair
♣2,♦8,♣8,♥J,♥Q | Pair
♣2,♦2,♥3,♦8,♥J | Pair
♣2,♦2,♣4,♦8,♥J | Pair
♣2,♦2,♦5,♦8,♥J | Pair
♣2,♦2,♦8,♣8,♥J | Two Pairs
♣2,♥3,♦8,♣8,♥J | Pair
♣2,♣4,♦8,♣8,♥J | Pair
♣2,♦5,♦8,♣8,♥J | Pair
♣2,♦2,♥3,♦8,♥Q | Pair
♣2,♦2,♣4,♦8,♥Q | Pair
♣2,♦2,♦5,♦8,♥Q | Pair
♣2,♦2,♦8,♣8,♥Q | Two Pairs
♣2,♥3,♦8,♣8,♥Q | Pair
♣2,♣4,♦8,♣8,♥Q | Pair
♣2,♦5,♦8,♣8,♥Q | Pair
♣2,♦2,♥3,♣4,♦8 | Pair
♣2,♦2,♥3,♦5,♦8 | Pair
♣2,♦2,♥3,♦8,♣8 | Two Pairs
♣2,♦2,♣4,♦5,♦8 | Pair
♣2,♦2,♣4,♦8,♣8 | Two Pairs
♣2,♦2,♦5,♦8,♣8 | Two Pairs
♣2,♥3,♣4,♦8,♣8 | Pair
♣2,♥3,♦5,♦8,♣8 | Pair
♣2,♣4,♦5,♦8,♣8 | Pair
♦2,♦8,♠8,♥J,♥Q | Pair
♥3,♦8,♠8,♥J,♥Q | Pair
♣4,♦8,♠8,♥J,♥Q | Pair
♦5,♦8,♠8,♥J,♥Q | Pair
♦8,♠8,♣8,♥J,♥Q | Full House
♦2,♥3,♦8,♠8,♥J | Pair
♦2,♣4,♦8,♠8,♥J | Pair
♦2,♦5,♦8,♠8,♥J | Pair
♦2,♦8,♠8,♣8,♥J | Full House
♥3,♣4,♦8,♠8,♥J | Pair
♥3,♦5,♦8,♠8,♥J | Pair
♥3,♦8,♠8,♣8,♥J | Full House
♣4,♦5,♦8,♠8,♥J | Pair
♣4,♦8,♠8,♣8,♥J | Full House
♦5,♦8,♠8,♣8,♥J | Full House
♦2,♥3,♦8,♠8,♥Q | Pair
♦2,♣4,♦8,♠8,♥Q | Pair
♦2,♦5,♦8,♠8,♥Q | Pair
♦2,♦8,♠8,♣8,♥Q | Full House
♥3,♣4,♦8,♠8,♥Q | Pair
♥3,♦5,♦8,♠8,♥Q | Pair
♥3,♦8,♠8,♣8,♥Q | Full House
♣4,♦5,♦8,♠8,♥Q | Pair
♣4,♦8,♠8,♣8,♥Q | Full House
♦5,♦8,♠8,♣8,♥Q | Full House
♦2,♥3,♣4,♦8,♠8 | Pair
♦2,♥3,♦5,♦8,♠8 | Pair
♦2,♥3,♦8,♠8,♣8 | Full House
♦2,♣4,♦5,♦8,♠8 | Pair
♦2,♣4,♦8,♠8,♣8 | Full House
♦2,♦5,♦8,♠8,♣8 | Full House
♥3,♣4,♦5,♦8,♠8 | Pair
♥3,♣4,♦8,♠8,♣8 | Full House
♥3,♦5,♦8,♠8,♣8 | Full House
♣4,♦5,♦8,♠8,♣8 | Full House
♦2,♦8,♣8,♥J,♥Q | Pair
♥3,♦8,♣8,♥J,♥Q | Pair
♣4,♦8,♣8,♥J,♥Q | Pair
♦5,♦8,♣8,♥J,♥Q | Pair
♦2,♥3,♦8,♣8,♥J | Pair
♦2,♣4,♦8,♣8,♥J | Pair
♦2,♦5,♦8,♣8,♥J | Pair
♥3,♣4,♦8,♣8,♥J | Pair
♥3,♦5,♦8,♣8,♥J | Pair
♣4,♦5,♦8,♣8,♥J | Pair
♦2,♥3,♦8,♣8,♥Q | Pair
♦2,♣4,♦8,♣8,♥Q | Pair
♦2,♦5,♦8,♣8,♥Q | Pair
♥3,♣4,♦8,♣8,♥Q | Pair
♥3,♦5,♦8,♣8,♥Q | Pair
♣4,♦5,♦8,♣8,♥Q | Pair
♦2,♥3,♣4,♦8,♣8 | Pair
♦2,♥3,♦5,♦8,♣8 | Pair
♦2,♣4,♦5,♦8,♣8 | Pair
♥3,♣4,♦5,♦8,♣8 | Pair
♣2,♦2,♠8,♥J,♥Q | Pair
♣2,♠8,♣8,♥J,♥Q | Pair
♣2,♦2,♥3,♠8,♥J | Pair
♣2,♦2,♣4,♠8,♥J | Pair
♣2,♦2,♦5,♠8,♥J | Pair
♣2,♦2,♠8,♣8,♥J | Two Pairs
♣2,♥3,♠8,♣8,♥J | Pair
♣2,♣4,♠8,♣8,♥J | Pair
♣2,♦5,♠8,♣8,♥J | Pair
