","♦Q♥6♦4♦7♣7 | Pair
","♥3♣9♠3♣2♦6 | Pair
","♥3♣9♠3♣2♣8 | Pair
","♥3♣9♠3♣2♣7 | Pair
","♥3♣9♠3♦6♣8 | Pair
","♥3♣9♠3♦6♣7 | Pair
","♥3♣9♠3♣8♣7 | Pair
","♥3♣9♠K♦7♥7 | Pair
","♥6♥3♦A♣9♠3 | Pair
","♥6♥3♦A♣9♦3 | Pair
","♥6♥3♦4♦6♣7 | Pair
","♥3♣9♠K♦7♣7 | Pair
","♥6♥3♦4♦6♣8 | Pair
","♥6♥3♦4♣2♦6 | Pair
","♥6♥3♦4♥7♣7 | Pair
","♥3♣9♠K♥7♣7 | Pair
","♥6♥3♦4♥7♦6 | Pair
","♥6♥3♦4♦7♣7 | Pair
","♥6♥3♦4♦7♦6 | Pair
","♥6♥3♦4♦7♥7 | Pair
","♥6♥3♦4♠K♦6 | Pair
","♥6♥3♦4♠3♣7 | Pair
","♥3♣9♦7♥7♣2 | Pair
","♥3♣9♦7♥7♦6 | Pair
","♥3♣9♦7♥7♣8 | Pair
","♣9♠K♦7♥7♣8 | Pair
","♥6♥3♦4♠3♣8 | Pair
","♣9♠K♦7♥7♦6 | Pair
","♥3♣9♦7♣2♣7 | Pair
","♥6♥3♦4♠3♣2 | Pair
","♥3♣9♦7♦6♣7 | Pair
","♥3♣9♦7♣8♣7 | Pair
","♥6♥3♦4♠3♥7 | Pair
","♥6♥3♦4♠3♦7 | Pair
","♥3♣9♥7♣2♣7 | Pair
","♥6♥3♦4♠3♠K | Pair
","♥3♣9♥7♦6♣7 | Pair
","♥3♣9♥7♣8♣7 | Pair
","♥6♥3♦4♦3♣7 | Pair
","♥6♥3♦4♦3♣8 | Pair
","♣9♠K♦7♥7♣2 | Pair
","♥6♥3♦4♦3♣2 | Pair
","♦Q♥6♦4♥7♦6 | Pair
","♦Q♥6♦4♥7♣7 | Pair
","♦Q♥6♦4♣2♦6 | Pair
","♦Q♥6♦4♦6♣8 | Pair
","♣9♠3♥7♣8♣7 | Pair
","♣9♠3♥7♦6♣7 | Pair
","♦Q♥6♦4♦6♣7 | Pair
","♣9♠3♥7♣2♣7 | Pair
","♦Q♥6♦A♣9♦6 | Pair
","♦Q♥6♦A♦3♠3 | Pair
","♣9♠3♦7♣8♣7 | Pair
","♣9♠3♦7♦6♣7 | Pair
","♦Q♥6♦A♦3♦6 | Pair
","♣9♠3♦7♣2♣7 | Pair
","♦Q♥6♦A♠3♦6 | Pair
","♦Q♥6♦A♠K♦6 | Pair
","♣9♠3♦7♥7♣8 | Pair
","♣9♠3♦7♥7♦6 | Pair
","♣9♠3♦7♥7♣2 | Pair
","♦Q♥6♦A♦7♥7 | Pair
","♦Q♥6♦A♦7♦6 | Pair
","♦Q♥6♦A♦7♣7 | Pair
","♥3♦3♠K♦7♣2 | Pair
","♥3♦3♠K♦7♦6 | Pair
","♥3♦3♠K♦7♣8 | Pair
","♦Q♥6♦A♥7♦6 | Pair
","♥3♦3♠K♥7♣2 | Pair
","♥3♦3♠K♥7♦6 | Pair
","♥3♦3♠K♥7♣8 | Pair
","♦Q♥6♦A♥7♣7 | Pair
","♥3♦3♠K♣2♦6 | Pair
","♥3♦3♠K♣2♣8 | Pair
","♥3♦3♠K♣2♣7 | Pair
","♥3♦3♠K♦6♣8 | Pair
","♥3♦3♠K♦6♣7 | Pair
","♥3♦3♠K♣8♣7 | Pair
","♦Q♥6♦A♣2♦6 | Pair
","♣9♠3♠K♥7♣7 | Pair
","♦Q♥6♦A♦6♣8 | Pair
","♦Q♥6♦A♦6♣7 | Pair
","♥3♦3♦7♣2♦6 | Pair
","♥3♦3♦7♣2♣8 | Pair
","♦Q♥6♣9♦3♠3 | Pair
","♥3♦3♦7♦6♣8 | Pair
","♣9♠3♠K♦7♣7 | Pair
","♦Q♥6♣9♦3♦6 | Pair
","♥3♦3♥7♣2♦6 | Pair
","♥3♦3♥7♣2♣8 | Pair
","♦Q♥6♣9♠3♦6 | Pair
","♥3♦3♥7♦6♣8 | Pair
","♦Q♥6♣9♠K♦6 | Pair
","♣9♠3♠K♦7♥7 | Pair
","♥3♦3♣2♦6♣8 | Pair
","♥3♦3♣2♦6♣7 | Pair
","♥3♦3♣2♣8♣7 | Pair
","♥3♦3♦6♣8♣7 | Pair
","♦Q♥6♣9♦7♥7 | Pair
","♥3♠3♠K♦7♣2 | Pair
","♥3♠3♠K♦7♦6 | Pair
","♥3♠3♠K♦7♣8 | Pair
","♦Q♥6♣9♦7♦6 | Pair
","♥3♠3♠K♥7♣2 | Pair
","♥3♠3♠K♥7♦6 | Pair
","♥3♠3♠K♥7♣8 | Pair
","♦Q♥6♣9♦7♣7 | Pair
","♥3♠3♠K♣2♦6 | Pair
","♥3♠3♠K♣2♣8 | Pair
","♥3♠3♠K♣2♣7 | Pair
","♥3♠3♠K♦6♣8 | Pair
","♥3♠3♠K♦6♣7 | Pair
","♥3♠3♠K♣8♣7 | Pair
","♦Q♥6♣9♥7♦6 | Pair
","♣9♦3♥7♣8♣7 | Pair
","♣9♦3♥7♦6♣7 | Pair
","♦Q♥6♣9♥7♣7 | Pair
","♥3♠3♦7♣2♦6 | Pair
","♥3♠3♦7♣2♣8 | Pair
","♣9♦3♥7♣2♣7 | Pair
","♥3♠3♦7♦6♣8 | Pair
","♦Q♥6♣9♣2♦6 | Pair
","♦Q♥6♣9♦6♣8 | Pair
","♥3♠3♥7♣2♦6 | Pair
","♥3♠3♥7♣2♣8 | Pair
","♣9♦3♦7♣8♣7 | Pair
","♥3♠3♥7♦6♣8 | Pair
","♣9♦3♦7♦6♣7 | Pair
","♦Q♥6♣9♦6♣7 | Pair
","♥3♠3♣2♦6♣8 | Pair
","♥3♠3♣2♦6♣7 | Pair
","♥3♠3♣2♣8♣7 | Pair
","♥3♠3♦6♣8♣7 | Pair
","♥3♠K♦7♥7♣2 | Pair
","♥3♠K♦7♥7♦6 | Pair
","♥3♠K♦7♥7♣8 | Pair
","♣9♦3♦7♣2♣7 | Pair
","♥6♥3♦4♦3♥7 | Pair
","♥6♥3♦4♦3♦7 | Pair
","♥3♠K♦7♣2♣7 | Pair
","♥6♥3♦4♦3♠K | Pair
","♥3♠K♦7♦6♣7 | Pair
","♥3♠K♦7♣8♣7 | Pair
","♦Q♥6♦3♠3♠K | Pair
","♥6♥3♦4♣9♦6 | Pair
","♥3♠K♥7♣2♣7 | Pair
","♥6♥3♦4♣9♠3 | Pair
","♥3♠K♥7♦6♣7 | Pair
","♥3♠K♥7♣8♣7 | Pair
","♥6♥3♦4♣9♦3 | Pair
","♥6♥3♦4♦A♦6 | Pair
","♥6♥3♦4♦A♠3 | Pair
","♥6♥3♦4♦A♦3 | Pair
","♥3♦7♥7♣2♦6 | Pair
","♥3♦7♥7♣2♣8 | Pair
","♦Q♥6♦3♠3♦7 | Pair
","♥3♦7♥7♦6♣8 | Pair
","♣9♦3♦7♥7♣8 | Pair
","♣9♦3♦7♥7♦6 | Pair
","♦Q♥7♦6♣8♣7 | Pair
","♥3♦7♣2♦6♣7 | Pair
","♥3♦7♣2♣8♣7 | Pair
","♥6♦A♣9♦7♦6 | Pair
","♦Q♥7♣2♣8♣7 | Pair
","♥3♥7♣2♦6♣7 | Pair
","♥3♥7♣2♣8♣7 | Pair
","♥3♥7♦6♣8♣7 | Pair
","♦Q♥7♣2♦6♣7 | Pair
","♦4♦A♣9♦3♠3 | Pair
","♦Q♦7♦6♣8♣7 | Pair
","♦Q♦7♣2♣8♣7 | Pair
","♦Q♦7♣2♦6♣7 | Pair
","♣9♦3♦7♥7♣2 | Pair
","♦Q♥6♦3♠3♥7 | Pair
","♦Q♦7♥7♦6♣8 | Pair
","♦Q♥6♦3♠3♣2 | Pair
","♦Q♦7♥7♣2♣8 | Pair
","♦Q♦7♥7♣2♦6 | Pair
","♦Q♠K♥7♣8♣7 | Pair
","♦Q♠K♥7♦6♣7 | Pair
","♦Q♠K♥7♣2♣7 | Pair
","♦Q♠K♦7♣8♣7 | Pair
","♦Q♠K♦7♦6♣7 | Pair
","♦Q♠K♦7♣2♣7 | Pair
","♦Q♥6♦3♠3♣8 | Pair
","♦Q♠K♦7♥7♣8 | Pair
","♦Q♠K♦7♥7♦6 | Pair
","♦Q♠K♦7♥7♣2 | Pair
","♦Q♠3♥7♣8♣7 | Pair
","♦4♦A♣9♦7♥7 | Pair
","♦Q♠3♥7♦6♣7 | Pair
","♦Q♠3♥7♣2♣7 | Pair
","♦Q♠3♦7♣8♣7 | Pair
","♦4♦A♣9♦7♣7 | Pair
","♦Q♠3♦7♦6♣7 | Pair
","♦Q♠3♦7♣2♣7 | Pair
","♦Q♥6♦3♠3♣7 | Pair
","♦4♦A♣9♥7♣7 | Pair
","♦Q♠3♦7♥7♣8 | Pair
","♦Q♠3♦7♥7♦6 | Pair
","♦Q♠3♦7♥7♣2 | Pair
","♦Q♠3♠K♥7♣7 | Pair
","♦Q♠3♠K♦7♣7 | Pair
","♦Q♠3♠K♦7♥7 | Pair
","♦4♦A♦3♠3♠K | Pair
","♦4♦A♦3♠3♦7 | Pair
","♦4♦A♦3♠3♥7 | Pair
","♦4♦A♦3♠3♣2 | Pair
","♦4♦A♦3♠3♦6 | Pair
","♦4♦A♦3♠3♣8 | Pair
","♦4♦A♦3♠3♣7 | Pair
","♦Q♦3♥7♣8♣7 | Pair
","♦Q♦3♥7♦6♣7 | Pair
","♦Q♦3♥7♣2♣7 | Pair
","♦Q♦3♦7♣8♣7 | Pair
","♦Q♦3♦7♦6♣7 | Pair
","♦Q♦3♦7♣2♣7 | Pair
","♦4♦A♦3♦7♥7 | Pair
","♦Q♥6♦3♠K♦6 | Pair
","♣9♦3♠K♥7♣7 | Pair
","♦Q♦3♦7♥7♣8 | Pair
","♦4♦A♦3♦7♣7 | Pair
","♦Q♦3♦7♥7♦6 | Pair
","♦Q♦3♦7♥7♣2 | Pair
","♦Q♦3♠K♥7♣7 | Pair
","♦4♦A♦3♥7♣7 | Pair
","♦Q♦3♠K♦7♣7 | Pair
","♦Q♦3♠K♦7♥7 | Pair
","♦Q♦3♠3♣8♣7 | Pair
","♦Q♦3♠3♦6♣7 | Pair
","♦Q♦3♠3♦6♣8 | Pair
","♦Q♦3♠3♣2♣7 | Pair
","♦Q♦3♠3♣2♣8 | Pair
","♦Q♦3♠3♣2♦6 | Pair
","♦Q♥6♦3♦7♥7 | Pair
","♦Q♦3♠3♥7♣8 | Pair
","♦Q♦3♠3♥7♦6 | Pair
","♦Q♦3♠3♥7♣2 | Pair
","♦4♦A♠3♦7♥7 | Pair
","♦Q♥6♦3♦7♦6 | Pair
","♦Q♦3♠3♦7♣8 | Pair
","♦Q♦3♠3♦7♦6 | Pair
","♦4♦A♠3♦7♣7 | Pair
","♦Q♦3♠3♦7♣2 | Pair
","♦Q♥6♦3♦7♣7 | Pair
","♦Q♦3♠3♠K♣7 | Pair
","♦4♦A♠3♥7♣7 | Pair
","♦Q♦3♠3♠K♣8 | Pair
","♦Q♦3♠3♠K♦6 | Pair
","♦Q♦3♠3♠K♣2 | Pair
","♦Q♦3♠3♠K♥7 | Pair
","♦Q♦3♠3♠K♦7 | Pair
","♦Q♣9♥7♣8♣7 | Pair
","♦4♦A♠K♦7♥7 | Pair
","♦Q♣9♥7♦6♣7 | Pair
","♦Q♣9♥7♣2♣7 | Pair
","♦Q♣9♦7♣8♣7 | Pair
","♦4♦A♠K♦7♣7 | Pair
","♦Q♣9♦7♦6♣7 | Pair
","♦Q♣9♦7♣2♣7 | Pair
","♣9♦3♠K♦7♣7 | Pair
","♦4♦A♠K♥7♣7 | Pair
","♦Q♣9♦7♥7♣8 | Pair
","♦Q♣9♦7♥7♦6 | Pair
","♦Q♣9♦7♥7♣2 | Pair
","♦Q♣9♠K♥7♣7 | Pair
","♦Q♣9♠K♦7♣7 | Pair
","♦Q♣9♠K♦7♥7 | Pair
","♦4♦A♦7♥7♣2 | Pair
","♦4♦A♦7♥7♦6 | Pair
","♦4♦A♦7♥7♣8 | Pair
","♦Q♥6♦3♥7♦6 | Pair
","♦Q♣9♠3♥7♣7 | Pair
","♦Q♣9♠3♦7♣7 | Pair
","♦4♦A♦7♣2♣7 | Pair
","♦Q♣9♠3♦7♥7 | Pair
","♦4♦A♦7♦6♣7 | Pair
","♦4♦A♦7♣8♣7 | Pair
","♦Q♣9♦3♥7♣7 | Pair
","♦Q♣9♦3♦7♣7 | Pair
","♦4♦A♥7♣2♣7 | Pair
","♦Q♣9♦3♦7♥7 | Pair
","♦4♦A♥7♦6♣7 | Pair
","♦4♦A♥7♣8♣7 | Pair
","♦Q♣9♦3♠3♣7 | Pair
","♦Q♣9♦3♠3♣8 | Pair
","♦Q♣9♦3♠3♦6 | Pair
","♦Q♣9♦3♠3♣2 | Pair
","♦4♣9♦3♠3♠K | Pair
","♦4♣9♦3♠3♦7 | Pair
","♦4♣9♦3♠3♥7 | Pair
","♦4♣9♦3♠3♣2 | Pair
","♦4♣9♦3♠3♦6 | Pair
","♦4♣9♦3♠3♣8 | Pair
","♦4♣9♦3♠3♣7 | Pair
","♦Q♣9♦3♠3♥7 | Pair
","♦Q♣9♦3♠3♦7 | Pair
","♦Q♣9♦3♠3♠K | Pair
","♦Q♦A♥7♣8♣7 | Pair
","♦Q♦A♥7♦6♣7 | Pair
","♦Q♦A♥7♣2♣7 | Pair
","♦4♣9♦3♦7♥7 | Pair
","♦Q♦A♦7♣8♣7 | Pair
","♦Q♦A♦7♦6♣7 | Pair
","♦Q♦A♦7♣2♣7 | Pair
","♦4♣9♦3♦7♣7 | Pair
","♦Q♥6♦3♥7♣7 | Pair
","♦Q♦A♦7♥7♣8 | Pair
","♦Q♦A♦7♥7♦6 | Pair
","♦4♣9♦3♥7♣7 | Pair
","♦Q♦A♦7♥7♣2 | Pair
","♦Q♦A♠K♥7♣7 | Pair
","♦Q♦A♠K♦7♣7 | Pair
","♦Q♦A♠K♦7♥7 | Pair
","♦Q♦A♠3♥7♣7 | Pair
","♦Q♦A♠3♦7♣7 | Pair
","♦Q♦A♠3♦7♥7 | Pair
","♦Q♦A♦3♥7♣7 | Pair
","♦Q♦A♦3♦7♣7 | Pair
","♦Q♥6♦3♣2♦6 | Pair
","♦Q♦A♦3♦7♥7 | Pair
","♦Q♦A♦3♠3♣7 | Pair
","♦4♣9♠3♦7♥7 | Pair
","♦Q♦A♦3♠3♣8 | Pair
","♦Q♦A♦3♠3♦6 | Pair
","♦Q♦A♦3♠3♣2 | Pair
","♦4♣9♠3♦7♣7 | Pair
","♦Q♦A♦3♠3♥7 | Pair
","♦Q♦A♦3♠3♦7 | Pair
","♦Q♦A♦3♠3♠K | Pair
","♦4♣9♠3♥7♣7 | Pair
","♦Q♦A♣9♥7♣7 | Pair
","♦Q♦A♣9♦7♣7 | Pair
","♦Q♦A♣9♦7♥7 | Pair
","♦Q♦A♣9♦3♠3 | Pair
","♦Q♦4♥7♣8♣7 | Pair
","♦Q♦4♥7♦6♣7 | Pair
","♦4♣9♠K♦7♥7 | Pair
","♦Q♦4♥7♣2♣7 | Pair
","♦Q♦4♦7♣8♣7 | Pair
","♦Q♦4♦7♦6♣7 | Pair
","♦4♣9♠K♦7♣7 | Pair
","♦Q♦4♦7♣2♣7 | Pair
","♣9♦3♠K♦7♥7 | Pair
","♦Q♦4♦7♥7♣8 | Pair
","♦4♣9♠K♥7♣7 | Pair
","♦Q♦4♦7♥7♦6 | Pair
","♦Q♦4♦7♥7♣2 | Pair
","♦Q♦4♠K♥7♣7 | Pair
","♦Q♦4♠K♦7♣7 | Pair
","♦Q♦4♠K♦7♥7 | Pair
","♦Q♦4♠3♥7♣7 | Pair
","♦4♣9♦7♥7♣2 | Pair
","♦4♣9♦7♥7♦6 | Pair
","♦4♣9♦7♥7♣8 | Pair
","♣9♦3♠3♣8♣7 | Pair
","♦Q♦4♠3♦7♣7 | Pair
","♦Q♦4♠3♦7♥7 | Pair
","♦4♣9♦7♣2♣7 | Pair
","♦Q♦4♦3♥7♣7 | Pair
","♦4♣9♦7♦6♣7 | Pair
","♦4♣9♦7♣8♣7 | Pair
","♦Q♦4♦3♦7♣7 | Pair
","♣9♦3♠3♦6♣7 | Pair
","♦4♣9♥7♣2♣7 | Pair
","♦Q♦4♦3♦7♥7 | Pair
","♦4♣9♥7♦6♣7 | Pair
","♦4♣9♥7♣8♣7 | Pair
","♦Q♦4♦3♠3♣7 | Pair
","♦Q♦4♦3♠3♣8 | Pair
","♦Q♦4♦3♠3♦6 | Pair
","♦Q♦4♦3♠3♣2 | Pair
","♦4♦3♠3♠K♦7 | Pair
","♦4♦3♠3♠K♥7 | Pair
","♦4♦3♠3♠K♣2 | Pair
","♦4♦3♠3♠K♦6 | Pair
","♦4♦3♠3♠K♣8 | Pair
","♦4♦3♠3♠K♣7 | Pair
","♣9♦3♠3♦6♣8 | Pair
","♦4♦3♠3♦7♣2 | Pair
","♦4♦3♠3♦7♦6 | Pair
","♦4♦3♠3♦7♣8 | Pair
","♣9♦3♠3♣2♣7 | Pair
","♦4♦3♠3♥7♣2 | Pair
","♦4♦3♠3♥7♦6 | Pair
","♦4♦3♠3♥7♣8 | Pair
","♣9♦3♠3♣2♣8 | Pair
","♦4♦3♠3♣2♦6 | Pair
","♦4♦3♠3♣2♣8 | Pair
","♦4♦3♠3♣2♣7 | Pair
","♦4♦3♠3♦6♣8 | Pair
","♦4♦3♠3♦6♣7 | Pair
","♦4♦3♠3♣8♣7 | Pair
","♦4♦3♠K♦7♥7 | Pair
","♦Q♦4♦3♠3♥7 | Pair
","♦Q♦4♦3♠3♦7 | Pair
","♦Q♦4♦3♠3♠K | Pair
","♦4♦3♠K♦7♣7 | Pair
","♦Q♦4♣9♥7♣7 | Pair
","♦Q♦4♣9♦7♣7 | Pair
","♦Q♦4♣9♦7♥7 | Pair
","♦4♦3♠K♥7♣7 | Pair
","♦Q♦4♣9♦3♠3 | Pair
","♦Q♦4♦A♥7♣7 | Pair
","♦Q♦4♦A♦7♣7 | Pair
","♣9♦3♠3♣2♦6 | Pair
","♦Q♦4♦A♦7♥7 | Pair
","♣9♦3♠3♥7♣8 | Pair
","♦4♦3♦7♥7♣2 | Pair
","♦4♦3♦7♥7♦6 | Pair
","♦4♦3♦7♥7♣8 | Pair
","♣9♦3♠3♥7♦6 | Pair
","♣9♦3♠3♥7♣2 | Pair
","♦Q♦4♦A♦3♠3 | Pair
","♦4♦3♦7♣2♣7 | Pair
","♦Q♥3♥7♣8♣7 | Pair
","♦4♦3♦7♦6♣7 | Pair
","♦4♦3♦7♣8♣7 | Pair
","♦Q♥3♥7♦6♣7 | Pair
","♦Q♥3♥7♣2♣7 | Pair
","♦4♦3♥7♣2♣7 | Pair
","♦Q♥3♦7♣8♣7 | Pair
","♦4♦3♥7♦6♣7 | Pair
","♦4♦3♥7♣8♣7 | Pair
","♦Q♥3♦7♦6♣7 | Pair
","♦Q♥3♦7♣2♣7 | Pair
","♣9♦3♠3♦7♣8 | Pair
","♦Q♥3♦7♥7♣8 | Pair
","♦4♠3♠K♦7♥7 | Pair
","♦Q♥3♦7♥7♦6 | Pair
","♦Q♥3♦7♥7♣2 | Pair
","♦Q♥3♠K♥7♣7 | Pair
","♦4♠3♠K♦7♣7 | Pair
","♦Q♥3♠K♦7♣7 | Pair
","♦Q♥3♠K♦7♥7 | Pair
","♦Q♥3♠3♣8♣7 | Pair
","♦4♠3♠K♥7♣7 | Pair
","♦Q♥3♠3♦6♣7 | Pair
","♦Q♥3♠3♦6♣8 | Pair
","♦Q♥3♠3♣2♣7 | Pair
","♦Q♥3♠3♣2♣8 | Pair
","♦Q♥3♠3♣2♦6 | Pair
","♣9♦3♠3♦7♦6 | Pair
","♦4♠3♦7♥7♣2 | Pair
","♦4♠3♦7♥7♦6 | Pair
","♦4♠3♦7♥7♣8 | Pair
","♣9♦3♠3♦7♣2 | Pair
","♦Q♥3♠3♥7♣8 | Pair
","♦Q♥3♠3♥7♦6 | Pair
","♦4♠3♦7♣2♣7 | Pair
","♦Q♥3♠3♥7♣2 | Pair
","♦4♠3♦7♦6♣7 | Pair
","♦4♠3♦7♣8♣7 | Pair
","♣9♦3♠3♠K♣7 | Pair
","♦Q♥3♠3♦7♣8 | Pair
","♦4♠3♥7♣2♣7 | Pair
","♦Q♥3♠3♦7♦6 | Pair
","♦4♠3♥7♦6♣7 | Pair
","♦4♠3♥7♣8♣7 | Pair
","♦Q♥3♠3♦7♣2 | Pair
","♣9♦3♠3♠K♣8 | Pair
","♦Q♥3♠3♠K♣7 | Pair
","♦Q♥3♠3♠K♣8 | Pair
","♦4♠K♦7♥7♣2 | Pair
","♦4♠K♦7♥7♦6 | Pair
","♦4♠K♦7♥7♣8 | Pair
","♣9♦3♠3♠K♦6 | Pair
","♦Q♥3♠3♠K♦6 | Pair
","♦Q♥3♠3♠K♣2 | Pair
","♦4♠K♦7♣2♣7 | Pair
","♦Q♥3♠3♠K♥7 | Pair
","♦4♠K♦7♦6♣7 | Pair
","♦4♠K♦7♣8♣7 | Pair
","♦Q♥3♠3♠K♦7 | Pair
","♦Q♥3♦3♣8♣7 | Pair
","♦4♠K♥7♣2♣7 | Pair
","♦Q♥3♦3♦6♣7 | Pair
","♦4♠K♥7♦6♣7 | Pair
","♦4♠K♥7♣8♣7 | Pair
","♦Q♥3♦3♦6♣8 | Pair
","♦Q♥3♦3♣2♣7 | Pair
","♦Q♥3♦3♣2♣8 | Pair
","♦Q♥3♦3♣2♦6 | Pair
","♦4♦7♥7♣2♦6 | Pair
","♦4♦7♥7♣2♣8 | Pair
","♣9♦3♠3♠K♣2 | Pair
","♦4♦7♥7♦6♣8 | Pair
","♣9♦3♠3♠K♥7 | Pair
","♣9♦3♠3♠K♦7 | Pair
","♦Q♥6♦3♦6♣8 | Pair
","♦4♦7♣2♦6♣7 | Pair
","♦4♦7♣2♣8♣7 | Pair
","♦4♦7♦6♣8♣7 | Pair
","♦Q♥3♦3♥7♣8 | Pair
","♦4♥7♣2♦6♣7 | Pair
","♦4♥7♣2♣8♣7 | Pair
","♦4♥7♦6♣8♣7 | Pair
","♦Q♥3♦3♥7♦6 | Pair
","♦A♣9♦3♠3♠K | Pair
","♦A♣9♦3♠3♦7 | Pair
","♦A♣9♦3♠3♥7 | Pair
","♦A♣9♦3♠3♣2 | Pair
","♦A♣9♦3♠3♦6 | Pair
","♦A♣9♦3♠3♣8 | Pair
","♦A♣9♦3♠3♣7 | Pair
","♦Q♥3♦3♥7♣2 | Pair
","♦A♥7♦6♣8♣7 | Pair
","♦Q♥3♦3♦7♣8 | Pair
","♦Q♥3♦3♦7♦6 | Pair
","♦Q♥3♦3♦7♣2 | Pair
","♦A♥7♣2♣8♣7 | Pair
","♦A♣9♦3♦7♥7 | Pair
","♦Q♥3♦3♠K♣7 | Pair
","♦Q♥3♦3♠K♣8 | Pair
","♦Q♥3♦3♠K♦6 | Pair
","♦A♣9♦3♦7♣7 | Pair
","♦Q♥3♦3♠K♣2 | Pair
","♦Q♥3♦3♠K♥7 | Pair
","♦Q♥3♦3♠K♦7 | Pair
","♦A♣9♦3♥7♣7 | Pair
","♦A♥7♣2♦6♣7 | Pair
","♦Q♥6♦3♦6♣7 | Pair
","♦A♦7♦6♣8♣7 | Pair
","♦A♦7♣2♣8♣7 | Pair
","♦A♦7♣2♦6♣7 | Pair
","♦Q♥6♠3♠K♦6 | Pair
","♦A♦7♥7♦6♣8 | Pair
","♦Q♥3♣9♥7♣7 | Pair
","♦Q♥3♣9♦7♣7 | Pair
","♦Q♥3♣9♦7♥7 | Pair
","♦Q♥3♣9♠3♣7 | Pair
","♦Q♥3♣9♠3♣8 | Pair
","♦A♣9♠3♦7♥7 | Pair
","♦Q♥3♣9♠3♦6 | Pair
","♦Q♥3♣9♠3♣2 | Pair
","♦Q♥3♣9♠3♥7 | Pair
","♦A♣9♠3♦7♣7 | Pair
","♦Q♥3♣9♠3♦7 | Pair
","♦Q♥3♣9♠3♠K | Pair
","♦Q♥3♣9♦3♣7 | Pair
","♦A♣9♠3♥7♣7 | Pair
","♦Q♥3♣9♦3♣8 | Pair
","♦Q♥3♣9♦3♦6 | Pair
","♦Q♥3♣9♦3♣2 | Pair
","♦Q♥3♣9♦3♥7 | Pair
","♦Q♥3♣9♦3♦7 | Pair
","♦Q♥3♣9♦3♠K | Pair
","♦A♣9♠K♦7♥7 | Pair
","♦A♦7♥7♣2♣8 | Pair
","♦Q♥3♦A♥7♣7 | Pair
","♦Q♥3♦A♦7♣7 | Pair
","♦A♣9♠K♦7♣7 | Pair
","♦Q♥3♦A♦7♥7 | Pair
","♦Q♥3♦A♠3♣7 | Pair
","♦Q♥3♦A♠3♣8 | Pair
","♦A♣9♠K♥7♣7 | Pair
","♦Q♥3♦A♠3♦6 | Pair
","♦Q♥3♦A♠3♣2 | Pair
","♦Q♥3♦A♠3♥7 | Pair
","♦Q♥3♦A♠3♦7 | Pair
","♦Q♥3♦A♠3♠K | Pair
","♦Q♥3♦A♦3♣7 | Pair
","♦A♣9♦7♥7♣2 | Pair
","♦A♣9♦7♥7♦6 | Pair
","♦A♣9♦7♥7♣8 | Pair
","♦A♦7♥7♣2♦6 | Pair
","♦Q♥3♦A♦3♣8 | Pair
","♦Q♥3♦A♦3♦6 | Pair
","♦A♣9♦7♣2♣7 | Pair
","♦Q♥3♦A♦3♣2 | Pair
","♦A♣9♦7♦6♣7 | Pair
","♦A♣9♦7♣8♣7 | Pair
","♦Q♥3♦A♦3♥7 | Pair
","♦Q♥3♦A♦3♦7 | Pair
","♦A♣9♥7♣2♣7 | Pair
","♦Q♥3♦A♦3♠K | Pair
","♦A♣9♥7♦6♣7 | Pair
","♦A♣9♥7♣8♣7 | Pair
","♦Q♥6♠3♦7♥7 | Pair
","♦Q♥3♦A♣9♠3 | Pair
","♦Q♥3♦A♣9♦3 | Pair
","♦Q♥3♦4♥7♣7 | Pair
","♦A♦3♠3♠K♦7 | Pair
","♦A♦3♠3♠K♥7 | Pair
","♦A♦3♠3♠K♣2 | Pair
","♦A♦3♠3♠K♦6 | Pair
","♦A♦3♠3♠K♣8 | Pair
","♦A♦3♠3♠K♣7 | Pair
","♦Q♥6♠3♦7♦6 | Pair
","♦A♦3♠3♦7♣2 | Pair
","♦A♦3♠3♦7♦6 | Pair
","♦A♦3♠3♦7♣8 | Pair
","♦Q♥6♠3♦7♣7 | Pair
","♦A♦3♠3♥7♣2 | Pair
","♦A♦3♠3♥7♦6 | Pair
","♦A♦3♠3♥7♣8 | Pair
","♦Q♥6♠3♥7♦6 | Pair
","♦A♦3♠3♣2♦6 | Pair
","♦A♦3♠3♣2♣8 | Pair
","♦A♦3♠3♣2♣7 | Pair
","♦A♦3♠3♦6♣8 | Pair
","♦A♦3♠3♦6♣7 | Pair
","♦A♦3♠3♣8♣7 | Pair
","♦A♦3♠K♦7♥7 | Pair
","♦Q♥3♦4♦7♣7 | Pair
","♦Q♥3♦4♦7♥7 | Pair
","♦Q♥3♦4♠3♣7 | Pair
","♦A♦3♠K♦7♣7 | Pair
","♦Q♥3♦4♠3♣8 | Pair
","♦Q♥3♦4♠3♦6 | Pair
","♦Q♥3♦4♠3♣2 | Pair
","♦A♦3♠K♥7♣7 | Pair
","♦Q♥3♦4♠3♥7 | Pair
","♦Q♥3♦4♠3♦7 | Pair
","♦Q♥3♦4♠3♠K | Pair
","♦Q♥3♦4♦3♣7 | Pair
","♦Q♥3♦4♦3♣8 | Pair
","♦Q♥3♦4♦3♦6 | Pair
","♦A♦3♦7♥7♣2 | Pair
","♦A♦3♦7♥7♦6 | Pair
","♦A♦3♦7♥7♣8 | Pair
","♦A♠K♥7♣8♣7 | Pair
","♦Q♥3♦4♦3♣2 | Pair
